	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	1.0	Aerobic rephosphorylation of ATP from glucose		O2[e];glucose[e]			H2O[e];CO2[e]			ATP[c] + H2O[c] => ADP[c] + Pi[c]	1.0						
	2.0	Aerobic rephosphorylation of ATP from a fatty acid		O2[e];palmitate[e]			H2O[e];CO2[e]			ATP[c] + H2O[c] => ADP[c] + Pi[c]	1.0						
	3.0	Aerobic rephosphorylation of GTP		O2[e];glucose[e]			H2O[e];CO2[e]			GTP[c] + H2O[c] => GDP[c] + Pi[c]	1.0						
	4.0	Aerobic rephosphorylation of CTP		O2[e];glucose[e]			H2O[e];CO2[e]			CTP[c] + H2O[c] => CDP[c] + Pi[c]	1.0						
	5.0	Aerobic rephosphorylation of UTP		O2[e];glucose[e]			H2O[e];CO2[e]			UTP[c] + H2O[c] => UDP[c] + Pi[c]	1.0						
	6.0	Anaerobic rephosphorylation of ATP		glucose[e]			H2O[e];L-lactate[e];CO2[e]			ATP[c] + H2O[c] => ADP[c] + Pi[c]	1.0						
	7.0	Anaerobic rephosphorylation of GTP		glucose[e]			H2O[e];L-lactate[e];CO2[e]			GTP[c] + H2O[c] => GDP[c] + Pi[c]	1.0						
	8.0	Anaerobic rephosphorylation of CTP		glucose[e]			H2O[e];L-lactate[e];CO2[e]			CTP[c] + H2O[c] => CDP[c] + Pi[c]	1.0						
	9.0	Anaerobic rephosphorylation of UTP		glucose[e]			H2O[e];L-lactate[e];CO2[e]			UTP[c] + H2O[c] => UDP[c] + Pi[c]	1.0						
	10.0	ATP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							ATP[c]	1.0									
	11.0	CTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							CTP[c]	1.0									
	12.0	GTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							GTP[c]	1.0									
	13.0	UTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							UTP[c]	1.0									
	14.0	dATP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							dATP[c]	1.0									
	15.0	dCTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							dCTP[c]	1.0									
	16.0	dGTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							dGTP[c]	1.0									
	17.0	dTTP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							dTTP[c]	1.0									
	18.0	ATP salvage from Adenosine		Pi[e]			H2O[e]			ATP[c] + H2O[c] <=> ADP[c] + Pi[c]							
				adenosine[e]	1.0	1.0	ATP[e]	1.0									
	19.0	ATP salvage from Hypoxanthine		Pi[e];O2[e];NH3[e];H2O[e];H+[c]			H2O[e];Pi[e];H+[c]			ATP[c] + H2O[c] <=> ADP[c] + Pi[c]							
				hypoxanthine[e]	1.0	1.0	ATP[e]	1.0									
				PRPP[c]	1.0	1.0											
	20.0	dTTP salvage from Thymine		Pi[e];O2[e];NH3[e];H2O[e];H+[c]			H2O[e];PPi[e];H+[c]			ATP[c] + H2O[c] <=> ADP[c] + Pi[c]							
				thymine[e]	1.0	1.0	dTTP[c]	1.0									
				2-deoxy-D-ribose-1-phosphate[c]	1.0	1.0											
	21.0	Aerobic reduction of NAD+		glucose[e];O2[e]			H2O[e];CO2[e]			NADH[c] => NAD+[c]	1.0						This is not a proof since there can be net synthesis of NADH. However, if you look at the solution it's fine
	22.0	Aerobic reduction of NADP+		glucose[e];O2[e]			H2O[e];CO2[e]			NADPH[c] => NADP+[c]	1.0						This is not a proof since there can be net synthesis of NADPH. However, if you look at the solution it's fine
	23.0	Gluconeogenesis from Lactate		O2[e];H2O[e];L-lactate[e]			H2O[e];CO2[e]										
							glucose[e]	1.0									
	24.0	Gluconeogenesis from Glycerol		O2[e];H2O[e];glycerol[e]			H2O[e];CO2[e]										
							glucose[e]	1.0									
	25.0	Gluconeogenesis from Alanine		O2[e];H2O[e];alanine[e]			H2O[e];CO2[e];urea[e]										
							glucose[e]	1.0									
	26.0	Gluconeogenesis from Lactate and optionally fatty acid		O2[e];H2O[e];palmitate[e];L-lactate[e]			H2O[e];CO2[e]										
							glucose[e]	1.0									
	27.0	Gluconeogenesis from Glycerol and optionally fatty acid		O2[e];H2O[e];palmitate[e];glycerol[e]			H2O[e];CO2[e]										
							glucose[e]	1.0									
	28.0	Gluconeogenesis from Alanine and fatty acid		O2[e];H2O[e];palmitate[e];alanine[e]			H2O[e];CO2[e]										
							glucose[e]	1.0									
	29.0	Storage of glucose in Glycogen		glucose[e]	11.0	11.0	H2O[e];CO2[e]			ATP[c] + H2O[c] <=> ADP[c] + Pi[c]							
				glycogenin[c]	1.0	1.0	glycogenin G11[c]	1.0		NADH[c] <=> NAD+[c]							
				O2[e]						NADPH[c] <=> NADP+[c]							
	30.0	Release of glucose from Glycogen		glycogenin G11[c]	1.0	1.0	glucose[e]	11.0	11.0	glucose-1-phosphate[c] + H2O[c] => glucose[c] + Pi[c]							
				H2O[e]			glycogenin[c]	1.0	1.0								
	31.0	Fructose degradation		fructose[e];O2[e]		1.0	H2O[e];CO2[e]										
	32.0	Galactose degradation		galactose[e];O2[e]		1.0	H2O[e];CO2[e]										
	33.0	UDP-glucose de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							UDP-glucose[c]	1.0									
	34.0	UDP-galactose de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							UDP-galactose[c]	1.0									
	35.0	UDP-glucuronate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							UDP-glucuronate[c]	1.0									
	36.0	GDP-L-fucose de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							GDP-L-fucose[c]	1.0									
	37.0	GDP-mannose de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							GDP-mannose[c]	1.0									
	38.0	UDP-N-acetyl D-galactosamine de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							UDP-N-acetyl-D-galactosamine[c]	1.0									
	39.0	CMP-N-acetylneuraminate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							CMP-N-acetylneuraminate[c]	1.0									
	40.0	N-Acetylglucosamine de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							N-acetylglucosamine[c]	1.0									
	41.0	Glucuronate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							glucuronate[c]	1.0									
	42.0	Alanine de novo synthesis (minimal substrates, minimal excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							alanine[e]	1.0									
	43.0	Arginine de novo synthesis (minimal substrates, minimal excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							arginine[e]	1.0									
